id,bio
16452711,"A normal PHPer, but try my best."
8436926,Gopher
6108197,Assistant Professor in Cognitive Science at Aarhus University. Focus on efficacy of social interactions and social impairment. Loves methods.
9402574,Java
11645983,I am a front-end developer and UX/UI designer.
20748608,Harbin Institute Of Technology
3350776,"stay young,stay simple."
19229769,Estudiante de Ingenier??a Informatica en la UGR
34836534,"A Genesis Framework lover, Web Designer, Techpreneur, Marketing Geek and Search Engine Optimizer !!

"
11600834,Web Dev'
22093816,Technology Lead (SharePoint Online and Office 365) at Infosys
12036106,????????????
2009346,Just do IT
11780110,I am fast!
12686641,"Computer Science undergrad, primarily interested in Software Engineering. Experienced in C++, Java, Python, OpenCL, Open GL, R, and MySQL. "
31713053,"Android Developer with 3+ years of work experience building, testing and supporting Android applications.
Oracle Certified Professional, Java SE 6 Programmer"
25906686,"Desarrollador full stack
Maker con arduino

Apasionado tanto por el c??digo y la electr??nica.
"
15865085,"Computer Engineering Student (Lassonde School of Engineering, York University)"
6643657,Tenerife
18507448,Web Dev In Formation
14308115,AEM Developer
8078089,nothing!
11948470,iOS & Android Developer
1742768,I'm passionate about coding and love to create new things.  I love working with the latest technologies. 
45082,Software Developer
968172,@NLP
14973323,Web developer
17601249,"Front End Dev
"
7066832,Android developer
5658883,Android FW Engineer at BQ
17517592,Programming Fanatic
19218494,Designer.
17821756,??????????????????JAVA?????????????????????
20719880,"No thing is impossible.
"
15818195,Computer Science Student
4759021,Software Engineering Student at Johannes Kepler Universit??t Linz.
2456609,"iOS Mobile App Developer, Swift language enthusiast and Oculus rift guinea pig"
5476164,"I like python, education and free software."
24230244,Motivated being. Enthusiastic learner.
33010752,learning
13527011,Full stack web developer
14587789,"I'm a student of Engineering in Systems of Information, at Universidad Tecnol??gica Nacional, Facultad Regional Rosario (Argentina)."
21976188,"UK Knife maker/father/bushcrafter/climber with a keen interest in web developement, technology and computing.
"
5733032,"Electrical Engineering at University of Alberta.

I highly suggest you visit my website. Seriously. Go."
10129641,Front & backend web developer. PHP fan.
26287414,Self-Taught developer and recent DigitalCrafts graduate that specializes in the MERN stack. 
492070,Bottlebooks #CTO
15930686,Just a student from Germany who enjoys coding
6758802,"I'm a data reporter at the Center for Public Integrity, a DC-based news organization where I use words, data and code in furtherance of investigative reporting."
18088682,"ucsd '15 ~ '17 
ucla  '17 ~ '19
warrenhong.com"
2287963,"Accomplished Software Engineer, Ping Pong Novice"
9576239,self taught developer
15692949,i'm normal
10072856,"I enjoy making fun little interactive STEM learning simulations. I get my inspirations from Steven Strotgatz, @3b1b @ncase @shiffman @explorableexplanations "
1773069,Interested in machine learning and visual effects that go nicely with music (amongst other things).
628527,@RPISEC
7194108,Freelance web developer and wedding photographer.
1312707,open fans
9070914,"Software Engineer.

Student at IT Sligo."
24531991,Software Engineer but really I just like to code.
24353882,"looking for job opportunity
https://www.linkedin.com/in/umer7/
"
32912869,"Computer Science + Industrial Design
"
